,Item,Prediction,Actual
227,"(1000000716.0, 'MKE M12 2.0 AH BATTERY')",Pick Mod - Bin,Pick Mod - Carton Flow
228,"(938963.0, ""20'X100' 6MIL CLEAR POLY SHEETING"")",Pick Mod - Pallet Flow,SR - Half Pallet
229,"(344444.0, 'HOM 200A 20/40 MB CSED OH/UG SURFC')",SR - Full Pallet,Pick Mod - Carton Flow
230,"(1001850107.0, 'DW FV HMR DRLL/IMPACT KIT')",Pick Mod - Bin,Pick Mod - Carton Flow
231,"(1001810127.0, 'CONTROL SPRAY MAX HVLP SPRAYER')",SR - Full Pallet,Pick Mod - Carton Flow
232,"(255848.0, 'ZEP GLASS AMMONIA FREE 128OZ')",Pick Mod - Bin,Pick Mod - Carton Flow
233,"(1004215301.0, 'MASTER SOCKET SET (347-PIECE)')",Pick Mod - Carton Flow,Pick Mod - Bin
234,"(1002376031.0, '42""X62"" SHRINK WINDOW KIT 4PK')",Pick Mod - Bin,Pick Mod - Carton Flow
235,"(1004449304.0, 'AURA IRON BLACK SINGLE CYLINDER ELEC')",Pick Mod - Carton Flow,Pick Mod - Bin
236,"(994189.0, 'SPRAYMASTER SPRAY BOTTLE 32OZ')",Pick Mod - Carton Flow,Pick Mod - Bin
237,"(1000578524.0, 'RECONDITIONED 14 IN. 9 AMP CORDED EL')",Pick Mod - Carton Flow,SR - Full Pallet
238,"(390814.0, 'HDX TERRY TOWELS 20PK')",Pick Mod - Carton Flow,Pick Mod - Bin
239,"(303031.0, 'SHELF BRACKET_LD_10"" X 12""_WH')",Pick Mod - Bin,Pick Mod - Carton Flow
240,"(1002627366.0, '128 OZ. CONCENTRATED ALL-PURPOSE CLE')",SR - Full Pallet,Pick Mod - Carton Flow
241,"(1001489107.0, 'ESSA SINGLE-HANDLE PULL-DOWN SPRAYER')",Pick Mod - Bin,Pick Mod - Carton Flow
242,"(1001637563.0, 'WORTH 8"" 2HDL BATH FAUCET BZ')",Pick Mod - Bin,Pick Mod - Carton Flow
243,"(1001295284.0, 'MKE TITANIUM BIT SET 15PC')",Pick Mod - Carton Flow,Pick Mod - Bin
244,"(894940.0, '30INX24IN SS HOOD BACKSPLASH')",Pick Mod - Bin,SR - Full Pallet
245,"(775957.0, ""ARTIFICIAL GRASS RUG 6'X8'"")",Oblong,Bulk Floor
246,"(411049.0, '12"" X 17"" SHALLOW STD VALVE BOX BLK/')",Pick Mod - Carton Flow,SR - Full Pallet
247,"(1001075558.0, 'DW 12A CORDED RECIP SAW')",Pick Mod - Bin,Pick Mod - Carton Flow
248,"(396781.0, '10.5""X7"" RUMBLESTONE LARGE, SIERRA')",Cantilever,Bulk Floor
249,"(240826.0, '36"" GB GRAB BAR-SS')",SR - Full Pallet,Pick Mod - Bin
250,"(1001763964.0, '5"" CHANNEL DRAIN KIT WITH METAL GRAT')",SR - Full Pallet,Pick Mod - Bin
251,"(1003134844.0, 'COMPACT FOLDING TABLE SAW STAND')",Pick Mod - Carton Flow,SR - Full Pallet
252,"(1003899455.0, 'DW 20V XR BL JIG SAW (TOOL ONLY)')",Pick Mod - Bin,Pick Mod - Carton Flow
253,"(1002751982.0, 'UNFINISHED BCH 18X84 PANTRY CABINET')",Doors and Panels - Single Deep,Bulk Floor
254,"(1004807015.0, 'RYOBI 40V 4AH 18"" MULCH/SIDE DISCHRG')",SR - Full Pallet,Pick Mod - Pallet Flow
255,"(1004314350.0, 'BEHR SP 1PT EPOXY C&G 902 SLT GRY 1G')",Pick Mod - Carton Flow,SR - Full Pallet
256,"(1002800033.0, 'MKE BI-METAL SET 13PC')",Pick Mod - Carton Flow,Pick Mod - Bin
257,"(1000123275.0, '14 IN. X 30 IN. X 1 IN. ODOR, ALLERG')",Pick Mod - Carton Flow,SR - Half Pallet
258,"(1001869293.0, 'GREAT STUFF BIG GAP FILLER 16 OZ')",Pick Mod - Carton Flow,Pick Mod - Bin
259,"(1005773017.0, '2X4 LED PRISMATIC PANEL 5000L 4000K')",SR - Full Pallet,SR - Half Pallet
260,"(184804.0, 'KIDDE BATTERY CO ALARM')",Cantilever,Pick Mod - Bin
261,"(1001754876.0, 'ENCORE 56 TO 60 IN. X 58 IN. FRAMED')",Bulk Floor,Doors and Panels - Single Deep
262,"(376383.0, '20""X25"" WHT RETURN AIR FILTER GRILLE')",Pick Mod - Carton Flow,SR - Full Pallet
263,"(1004851178.0, '6IN RA DIRECTMNT LED GIMBAL CCTSELCT')",Pick Mod - Bin,Pick Mod - Carton Flow
264,"(1004897800.0, 'M18 18V BL HMR DRILL & CIRC KIT 4.0A')",SR - Full Pallet,Pick Mod - Carton Flow
265,"(1002225137.0, 'RYOBI FOAM BLASTER REFILL')",Pick Mod - Bin,Pick Mod - Carton Flow
266,"(1002940811.0, 'WHISPER RECESSED ARCHITECTURAL GRADE')",SR - Full Pallet,Pick Mod - Carton Flow
267,"(1004830436.0, 'CHARMIN SOFT 12 MEGA ROLL PLUS')",Pick Mod - Bin,SR - Full Pallet
268,"(1001595684.0, '12 IN. X 12 IN. MESH CATCH BASIN FIL')",SR - Full Pallet,Pick Mod - Bin
269,"(1005492531.0, '20-VOLT MAX CORDLESS COMBO KIT (4-TO')",SR - Full Pallet,Pick Mod - Carton Flow
270,"(140875.0, 'WALL KNOCKDOWN WATERBASED 20OZ')",Pick Mod - Carton Flow,Pick Mod - Bin
271,"(1002671564.0, '3X6 RESTORE BRIGHT WHITE-CA-12.5SF')",Pick Mod - Bin,SR - Half Pallet
272,"(1001358552.0, 'SIKA FENCE POST MIX')",Pick Mod - Carton Flow,Pick Mod - Bin
273,"(614613.0, 'TIGHT FIT ADJUSTABLE DRYER DUCT')",Pick Mod - Bin,SR - Full Pallet
274,"(1003595121.0, 'DURAFLAME 4.5 WAX FIRE LOG 9PK')",Pick Mod - Bin,SR - Full Pallet
275,"(1003545381.0, 'SOFTHEAT 71 IN. 1,250-WATT 240-VOLT')",Bulk Floor,Oblong
276,"(1005807625.0, 'M18 FUEL 18-VOLT LITHIUM-ION BRUSHLE')",Pick Mod - Carton Flow,SR - Full Pallet
277,"(1002262762.0, 'INVOLVE HC-WAVE 2-HANDLE INSTANT HOT')",Pick Mod - Bin,Pick Mod - Carton Flow
278,"(1002269802.0, '52"" HUGGER LED BN')",Pick Mod - Carton Flow,SR - Full Pallet
279,"(1001550868.0, '20 IN. X 14 IN. NATURAL TEAK NON-ADJ')",Pick Mod - Carton Flow,SR - Full Pallet
280,"(792695.0, 'ULTRASAC 55G 2MIL HD DRUM LINER 50CT')",Pick Mod - Bin,Pick Mod - Carton Flow
281,"(1004022725.0, 'VICTOR 4LB RODENT KILLER')",Pick Mod - Bin,Pick Mod - Carton Flow
282,"(342614.0, '1HP EVOLUTION EXCEL GARBAGE DISPOSER')",SR - Full Pallet,Pick Mod - Carton Flow
283,"(781762.0, 'MIR-GRO ALL-PURPOSE PLNTFOOD 10LB')",SR - Full Pallet,Pick Mod - Bin
284,"(1006214711.0, '12-2 NM W/G 250 FT')",Pick Mod - Bin,SR - Full Pallet
285,"(1004733903.0, 'GB 30X30 BEVLD FRAMELESS BATH MIRROR')",Pick Mod - Bin,SR - Full Pallet
286,"(1006012402.0, '18V LXT LITHIUM-ION BRUSHLESS CORDLE')",Pick Mod - Carton Flow,SR - Full Pallet
287,"(1001297856.0, '10"" ELECTRICIAN TOTE')",Pick Mod - Carton Flow,SR - Full Pallet
288,"(255753.0, 'ZEP INSTANT SPOT & STAIN REMOVR 19OZ')",Pick Mod - Carton Flow,Pick Mod - Bin
289,"(1004187113.0, '6 QT STORAGE BOX, GRAY')",Pick Mod - Carton Flow,SR - Full Pallet
290,"(1002320348.0, 'ROUNDUP EXTENDED CONTROL 1.33GAL PNG')",Pick Mod - Carton Flow,Pick Mod - Bin
291,"(1000477285.0, 'VERTICYL RECTANGLE UNDERMOUNT BATHRO')",Pick Mod - Carton Flow,SR - Full Pallet
292,"(255156.0, 'RIDGID 14 GAL WET/DRY VAC')",SR - Full Pallet,Pick Mod - Pallet Flow
293,"(1003315320.0, 'RYOBI 2-CYCLE BACKPACK BLOWER')",SR - Full Pallet,Pick Mod - Carton Flow
294,"(1001188561.0, 'DW METAL CONNECTOR NAILER')",Pick Mod - Bin,Pick Mod - Carton Flow
295,"(1002231569.0, 'OLYMPUS BLACK WALL-MOUNT LOCKING SEC')",Pick Mod - Carton Flow,SR - Full Pallet
296,"(1000651505.0, '20"" PREMIUM BOX FAN')",Pick Mod - Carton Flow,SR - Full Pallet
297,"(294503.0, 'M18 2 GAL CORDLESS W/D VAC-BARE TOOL')",Pick Mod - Pallet Flow,Pick Mod - Carton Flow
298,"(1000946146.0, 'BLACK 2-LIGHT WALL LANTERN')",Pick Mod - Bin,Pick Mod - Carton Flow
299,"(268984.0, '8-3 NM W/G 125 FT')",Pick Mod - Carton Flow,SR - Full Pallet
300,"(1002759300.0, 'M18 FUEL 18-VOLT LITHIUM-ION DRAIN S')",SR - Full Pallet,Pick Mod - Carton Flow
301,"(1002672638.0, '4 GAL. RECHARGEABLE 24-VOLT LITHIUM-')",SR - Full Pallet,Pick Mod - Carton Flow
302,"(1005822422.0, 'RYOBI 40V HP CARBON FIBER TRIMMER')",SR - Full Pallet,Pick Mod - Carton Flow
303,"(1002582798.0, 'DW FLEXVOLT 9.0 AH 20V/60V BATTERY')",Pick Mod - Bin,Pick Mod - Carton Flow
304,"(1005475328.0, '6,000 - 11,000 BTU BUDDY FLEX PORTAB')",SR - Full Pallet,Pick Mod - Carton Flow
305,"(1000041191.0, 'BESSEY 5"" ROTATING PIPE/BENCH VISE')",Pick Mod - Carton Flow,SR - Full Pallet
306,"(1001492033.0, 'GLADIATOR 4FT GEAR WALL PANEL 2/PK')",Bulk Floor,Oblong
307,"(513359.0, 'DAMPRID MOISTURE ABSRB TUB-FRAG FREE')",Pick Mod - Carton Flow,Pick Mod - Bin
308,"(1006065796.0, 'ONE  18-VOLT 13"" LITHIUM-ION CORDLES')",Pick Mod - Carton Flow,SR - Full Pallet
309,"(274909.0, ""5'X50' 14GA GALV WELDED WIRE"")",Oblong,Doors and Panels - Single Deep
310,"(1001399883.0, 'PORTER TELESCOPING PEDESTAL TPH ORB')",Pick Mod - Bin,Pick Mod - Carton Flow
311,"(1001199498.0, 'RB 1/2 IN. X 50 FT. SUB-SURFACE DRIP')",Pick Mod - Carton Flow,Pick Mod - Bin
312,"(196012.0, 'PORCELAIN TILE MORTAR WHITE 50LB')",Pick Mod - Bin,Pick Mod - Carton Flow
313,"(1001528330.0, 'DW 20V BLOWER (TOOL ONLY)')",Pick Mod - Bin,Pick Mod - Carton Flow
314,"(1004757800.0, 'LADERA 18 TOWEL BAR SPOT BN')",Pick Mod - Bin,Pick Mod - Carton Flow
