,Item,Prediction,Actual
225,"(1004102966.0, '13 IN. 20-VOLT MAX LITHIUM ION CORDL')",Pick Mod - Carton Flow,SR - Full Pallet
226,"(1005056002.0, '52"" CAVERA LED CEIL FAN MATTE NICKEL')",SR - Full Pallet,Pick Mod - Carton Flow
227,"(243773.0, 'SNAP-IN GUARD/FILTER - WHITE')",Pick Mod - Bin,Pick Mod - Carton Flow
228,"(1003119226.0, 'MKE M12 FUELSTUBBY3/8IMPWRCH TOOLONL')",Pick Mod - Bin,Pick Mod - Carton Flow
229,"(911252.0, 'R15 KRAFTFACED 15"" MINI ROLL 30 SQFT')",Oblong,Bulk Floor
230,"(774777.0, 'ESPOMA GARDEN TONE 8#')",Pick Mod - Carton Flow,Pick Mod - Bin
231,"(1001251858.0, 'MIRAGE WAINSCOT 32X48 PRIMED')",Cantilever,Bulk Floor
232,"(1000946810.0, 'RECESSED SOLID SURFACE SOAP DISH IN')",SR - Full Pallet,Pick Mod - Carton Flow
233,"(468318.0, 'TUMBLING COMPOSTER WITH TWO CHAMBERS')",SR - Full Pallet,Pick Mod - Carton Flow
234,"(1003174557.0, 'FLAT PANEL 2X4 LED 4700 LUMEN UNV VO')",Oblong,Doors and Panels - Single Deep
235,"(1000055346.0, 'NUTONE 130CFM 1.5 SONE LITE/NITE LIT')",Pick Mod - Carton Flow,SR - Full Pallet
236,"(1001083391.0, 'IRONITE II 1-01 5M 15# (OLD VERSION)')",Cantilever,Bulk Floor
237,"(1000051320.0, 'GE 70A RV PANEL W/20A GFI RECPT')",Pick Mod - Bin,Pick Mod - Carton Flow
238,"(1003221090.0, 'SCOTTS GRUBEX SSN LNG GRUB KLLR 10M')",Pick Mod - Bin,SR - Full Pallet
239,"(1002159262.0, 'SLIME 128OZ GARDEN TIRE SEALANT')",Pick Mod - Carton Flow,Pick Mod - Bin
240,"(1005579325.0, 'BOUNTY ESSENTIALS 6 DOUBLE ROLL')",Pick Mod - Carton Flow,SR - Full Pallet
241,"(1000316073.0, '50 CFM CEILING EXHAUST FAN WITH LIGH')",Pick Mod - Carton Flow,SR - Full Pallet
242,"(1003060804.0, '25 FTS. 30 AMP 125/250-VOLT FAN-STYL')",Pick Mod - Bin,Pick Mod - Carton Flow
243,"(1002262762.0, 'INVOLVE HC-WAVE 2-HANDLE INSTANT HOT')",Pick Mod - Bin,Pick Mod - Carton Flow
244,"(1004584687.0, 'UNFINISHED MAPLE 74 IN.')",Doors and Panels - Single Deep,Bulk Floor
245,"(249975.0, 'CRITTER RIDDER GRANULE 2 LB')",Pick Mod - Carton Flow,Pick Mod - Bin
246,"(1005887414.0, 'MAKITA 18V TRIMMER/POLE SAW COMBO')",Pick Mod - Carton Flow,SR - Full Pallet
247,"(768387.0, ""6' FG STEP LADDER TI 250LB"")",Doors and Panels - Single Deep,Bulk Floor
248,"(1002406145.0, 'DEWALT 20V 5AH BATTERY PACK')",Pick Mod - Carton Flow,Pick Mod - Bin
249,"(652113.0, '1/2""X100\' ALUM FLEX CONDUIT')",Pick Mod - Carton Flow,SR - Full Pallet
250,"(1002624318.0, 'PERF 36KW SLF-MODULATING TANKLESS')",Pick Mod - Carton Flow,SR - Full Pallet
251,"(1002490113.0, 'STYLE PLUS WHT TOP SHELF KIT')",Pick Mod - Carton Flow,SR - Full Pallet
252,"(1003238924.0, 'FLAT BORING BIT SET (13-PIECE)')",Pick Mod - Carton Flow,Pick Mod - Bin
253,"(1000029015.0, 'PAVER BASE PANEL')",Pick Mod - Bin,Pick Mod - Carton Flow
254,"(1000308526.0, 'M18 FUEL 18-VOLT BRUSHLESS LITHIUM-I')",SR - Full Pallet,Pick Mod - Carton Flow
255,"(1005662674.0, 'BADGER 5 1/2 HP CONTINUOUS FEED GARB')",Pick Mod - Bin,Pick Mod - Carton Flow
256,"(296368.0, 'SUNCAST 150 FT. HOSE HANGOUT')",Pick Mod - Carton Flow,Pick Mod - Bin
257,"(344259.0, '4"" GALV T-TOP PIPE FLASHING')",Pick Mod - Carton Flow,SR - Full Pallet
258,"(1001607871.0, 'TURF BLDR 3.75LB EZ SEED')",Pick Mod - Carton Flow,Pick Mod - Bin
259,"(922166.0, 'DREMEL 12V MAX CORDLESS ROTARY TOOL')",Pick Mod - Bin,Pick Mod - Carton Flow
260,"(1003416773.0, '1-1/2 IN. IPS POLY TO 1-1/2 IN. MIP')",Pick Mod - Carton Flow,SR - Half Pallet
261,"(255686.0, 'ZEP HIGH TRAFFIC FLOOR FINISH 5GAL')",SR - Full Pallet,Pick Mod - Bin
262,"(1000915702.0, '20OZ GLASS GARDEN SONG HB FEEDER')",Pick Mod - Carton Flow,Pick Mod - Bin
263,"(1000650525.0, '16 IN. 3-SPEED OSCILLATING PERFORMAN')",Pick Mod - Carton Flow,SR - Full Pallet
264,"(1000048063.0, '24X80 LVR-PNL WHITE BIFOLD DOOR')",Doors and Panels - Single Deep,Oblong
265,"(1003595121.0, 'DURAFLAME 4.5 WAX FIRE LOG 9PK')",Pick Mod - Bin,SR - Full Pallet
266,"(1000476033.0, 'CAXTON UNDERMOUNT BATHROOM SINK IN W')",Pick Mod - Carton Flow,SR - Full Pallet
267,"(360199.0, 'SCOTCHBLUE 1.88"" 2090 6PK')",Oblong,Pick Mod - Bin
268,"(495378.0, 'GE 100A 16/32 MB CSED OH/UG/SURFACE')",Pick Mod - Carton Flow,SR - Full Pallet
269,"(1006685575.0, 'MKE M18 FUEL 15 GA FINISH NAILER GEN')",SR - Full Pallet,Pick Mod - Carton Flow
270,"(1002708088.0, 'GRAY SHELF 12""X72""')",Cantilever,Oblong
271,"(1003104377.0, '36""X14""X54"" CHROME WIRE 4-SHELF')",SR - Full Pallet,Pick Mod - Carton Flow
272,"(1002746047.0, 'REDSTICK MAGNETIC LEVEL COMBO SET (')",Doors and Panels - Single Deep,Oblong
273,"(478006.0, 'SUNCAST SMALL VERTICAL SHED')",Doors and Panels - Single Deep,Bulk Floor
274,"(1001850351.0, 'DW CHRGR/BLUETOOTH RADIO')",Pick Mod - Carton Flow,SR - Full Pallet
275,"(1002751796.0, 'TWIN WINDOW FAN ELECT REV W REM')",Pick Mod - Carton Flow,SR - Full Pallet
276,"(1003989772.0, 'MKE M18 FUEL 1-9/16"" SDSMAX RTRYHM')",Pick Mod - Bin,Pick Mod - Carton Flow
277,"(1005222691.0, 'DW 8V SCREWDRIVER W/ 1AH BATTERY')",Pick Mod - Carton Flow,Pick Mod - Bin
278,"(153427.0, 'HOMELITE 17"" GAS CURVED TRIMMER')",SR - Full Pallet,Pick Mod - Carton Flow
279,"(1001220863.0, 'OLGELTHORPE 3LT VANITY DNI')",Pick Mod - Carton Flow,SR - Full Pallet
280,"(1005147887.0, 'RYOBI 18-VOLT ONE+ RECIPROCATING SAW')",Pick Mod - Bin,Pick Mod - Carton Flow
281,"(711991.0, '18"" WHITE 3-TIER RACK')",SR - Full Pallet,Pick Mod - Bin
282,"(924681.0, '14""X8"" 3-WAY WALL/CEIL REGISTER')",Pick Mod - Carton Flow,Pick Mod - Bin
283,"(1003057523.0, '16 IN. X 25 IN. X 1 IN. ALLERGEN PLE')",Pick Mod - Carton Flow,SR - Full Pallet
284,"(1000545661.0, 'MISTOS 1HDL KITCH FAUCET W/SPRAY SS')",SR - Full Pallet,Pick Mod - Bin
285,"(1003135357.0, 'M18 FUEL 18-VOLT LITHIUM-ION BRUSHLE')",Pick Mod - Bin,Pick Mod - Carton Flow
286,"(1001023915.0, 'TANKLESS FLUSH KIT')",Pick Mod - Carton Flow,SR - Full Pallet
287,"(1005024419.0, '14 IN OUTDOOR WALL SCONCE ORB')",Pick Mod - Carton Flow,SR - Full Pallet
288,"(1004319659.0, 'SMARTECH JSL-1250 POWER STATION WITH')",Pick Mod - Carton Flow,SR - Full Pallet
289,"(255685.0, 'ZEP HIGH TRAFFIC FLOOR FINISH 128OZ')",Pick Mod - Bin,Pick Mod - Carton Flow
290,"(1004262146.0, '3X12 LUXECRAFT WHITE - CA - 12SF')",Pick Mod - Bin,SR - Half Pallet
291,"(1001819022.0, 'HDC STONY OAK GRAY VINYL PLANK 20.34')",SR - Full Pallet,Pick Mod - Carton Flow
292,"(1005223286.0, 'DW SCROLL SAW STAND')",SR - Full Pallet,Pick Mod - Bin
293,"(1002333482.0, '18-VOLT LXT LITHIUM-ION CORDLESS HED')",SR - Full Pallet,Pick Mod - Carton Flow
294,"(1002926612.0, ""40 LB LAWN THICK'R TALL FESCUE"")",Doors and Panels - Single Deep,Bulk Floor
295,"(1004252262.0, '20-VOLT MAX LITHIUM ION CORDLESS BRU')",Pick Mod - Bin,Pick Mod - Carton Flow
296,"(1004356513.0, 'MKE M18 FUEL 7-1/4IN RH CIRC (BT)')",Pick Mod - Carton Flow,SR - Full Pallet
297,"(1002841848.0, 'WHISPERCEILING DC FAN WITH LED LIGHT')",Pick Mod - Carton Flow,SR - Full Pallet
298,"(1005234861.0, 'TIDE HE LQ ORIGINAL 69OZ')",Pick Mod - Bin,Pick Mod - Carton Flow
299,"(1000636175.0, 'DAYTON TOP MOUNT STAINLESS STEEL 15X')",Pick Mod - Carton Flow,SR - Full Pallet
300,"(1004923076.0, '42 IN. H X 96 IN. W X 32 IN. D ADJUS')",Oblong,Bulk Floor
301,"(1004628152.0, 'MM FH ACCENT TABLE')",Pick Mod - Carton Flow,SR - Full Pallet
302,"(1000048315.0, '31.5""X76.25\'X6 MIL MOISTURE BARRIER')",Bulk Floor,Oblong
303,"(319037.0, 'TURF BUILDER S&S 20LB EZ SEED')",Pick Mod - Carton Flow,SR - Half Pallet
304,"(1001419920.0, 'TRADITNAL SHWR TRACK 48-60"" CHROME')",Oblong,Doors and Panels - Single Deep
305,"(1001194639.0, 'RB 1/4IN TUBING 6IN SPC-50FT BIN126')",Pick Mod - Bin,Pick Mod - Carton Flow
306,"(1002753432.0, 'INSTANT HOT WATER TANK FOR HOT WATER')",Pick Mod - Bin,Pick Mod - Carton Flow
307,"(929866.0, 'RIDGID 12 GAL WET/DRY VAC')",SR - Full Pallet,Pick Mod - Pallet Flow
308,"(1002225137.0, 'RYOBI FOAM BLASTER REFILL')",Pick Mod - Bin,Pick Mod - Carton Flow
309,"(1005290013.0, '22 IN. ELECTRIC CERAMIC TOWER HEATER')",Pick Mod - Pallet Flow,Pick Mod - Carton Flow
310,"(360193.0, 'SCOTCHBLUE .94"" 2090 9PK')",Pick Mod - Carton Flow,Pick Mod - Bin
311,"(1001604419.0, 'KELLOGG ORGANIC FRUIT TREE 11.5 LB')",Pick Mod - Carton Flow,Pick Mod - Bin
312,"(1002081930.0, 'ADLER 1HDL SHOWER ONLY FAUCET CH')",Pick Mod - Carton Flow,Pick Mod - Bin
313,"(1004439698.0, 'M18 FUEL 18-VOLT LI-ION BRUSHLESS CO')",SR - Full Pallet,Pick Mod - Carton Flow
314,"(1006841148.0, 'ONE+ 18V EZCLEAN 600 PSI CORDLES')",Pick Mod - Bin,Pick Mod - Carton Flow
315,"(1003113534.0, '3.2 AMP ELECTRIC 17 IN. HEDGE TRIMME')",Pick Mod - Carton Flow,SR - Full Pallet
316,"(440000.0, '7500CFM 120V EVAPORATIVECOOLER PUMP')",Pick Mod - Carton Flow,Pick Mod - Bin
317,"(1002262978.0, 'CENTURY SATIN NICKEL LOWER HALF HAND')",Pick Mod - Bin,Pick Mod - Carton Flow
318,"(1003520762.0, '1-LIGHT OIL RUBBED BRONZE MINI PENDA')",Pick Mod - Carton Flow,SR - Full Pallet
319,"(1001698099.0, 'HDX 13G SCENTED 140 COUNT')",Pick Mod - Carton Flow,Pick Mod - Pallet Flow
320,"(1004156152.0, 'HAMPTON BAY 110 CFM BATH FAN 1 SONE')",Pick Mod - Carton Flow,SR - Full Pallet
321,"(132458.0, 'KIDDE PRO 460 FIRE EXTINGUISHER')",Pick Mod - Bin,Pick Mod - Carton Flow
322,"(1003904939.0, '21.13 IN. CULTURED MARBLE SIDESPLASH')",Pick Mod - Bin,Pick Mod - Carton Flow
323,"(1000384762.0, 'BANBURY 22.95 IN. X 26 IN. PIVOTING')",Pick Mod - Carton Flow,SR - Full Pallet
324,"(1000012747.0, 'TENMAT RECESSED LIGHT COVER')",SR - Full Pallet,Pick Mod - Carton Flow
325,"(1000021292.0, 'FEBREZE AIR LINEN&SKY 2X8.8OZ')",Pick Mod - Carton Flow,Pick Mod - Bin
326,"(400422.0, 'PENN EPSOM SALT 7#')",Pick Mod - Carton Flow,SR - Half Pallet
327,"(773482.0, ""ROTARY NOZZLE 17' 360 PAT HUNTER"")",Pick Mod - Bin,Pick Mod - Carton Flow
328,"(1002822545.0, '6X36 P&S GRY WOOD VNL PLANK 36SF/C')",Pick Mod - Bin,Pick Mod - Carton Flow
329,"(1003518804.0, '16 IN OSCILLATING FAN')",Pick Mod - Carton Flow,SR - Half Pallet
330,"(219909.0, 'SELECTIVES T4 WHITE 25"" CLOSET KIT')",Bulk Floor,Doors and Panels - Single Deep
